m0,date,Z_unhedged,Z_delta,Z_delta_vega,Z_diffusion,alpha,V_t,n_instruments,straddle_delta,straddle_vega,hedged_delta,hedged_vega
0.75,2018-07-03,-7.299156264384692,-7.299156264384692,-0.24947877217664427,-1.7423556252217622,0.25,113.11678160460224,3,0.5397202795704311,474.87785070774646,0.10391163459055519,97.52415583982383
0.75,2018-07-05,3.8586413790891356,-8.765415960063478,0.8624520466067906,1.8935467309218836,0.25,124.27457924807607,3,0.47265684595741353,499.70081214100725,0.1107753651050053,40.019372920581475
0.75,2018-07-06,16.009117642848935,-7.585305090975396,-0.04006372385845225,2.4812298432996727,0.25,136.42505551183586,4,0.5981799883166945,417.8322502900909,0.030286099847209313,-70.81728363066884
0.75,2018-07-09,32.058116398163065,-6.101989051172723,-1.0800773764476617,-0.5484901807773781,0.25,152.47405426715,4,0.7222311308694318,325.957079995188,-0.07292216024277343,-169.00587296722261
0.75,2018-07-10,42.589644097970336,-2.554436386872908,1.1144767974727756,-2.1791049932285205,0.25,163.00558196695727,5,0.837286030228803,209.13964697935558,-0.15430047284645343,-196.88981660877874
0.75,2018-07-11,27.59883159291195,-0.9502397727962375,1.8562515070853465,3.315833147633896,0.25,148.01476946189888,5,0.831427878215689,212.0888387847413,-0.1777863057363307,-127.64278074737564
0.75,2018-07-12,41.90103679298707,-6.826789177015797,-3.2642207889858526,-4.247424923627165,0.25,162.316974661974,5,0.7634191783984832,263.4289665091903,-0.14922377684459343,-127.51487171403562
0.75,2018-07-13,43.899131033953125,-7.134220854812867,-3.4561331198788423,-4.782683509740224,0.25,164.31506890294006,5,0.9067961944974099,125.9150778025933,-0.16327255520508155,-123.95917550055411
0.75,2018-07-16,40.610145496693434,-7.811633351920051,-3.3852540993626974,-3.117687978849773,0.25,161.02608336568036,5,0.9246034225045066,103.67918896128322,-0.15535162458609308,-105.12185342027445
0.75,2018-07-17,51.60708569022029,-7.096283216643656,-2.922746929932032,-7.528511669655813,0.25,172.02302355920722,5,0.9327638205710029,85.5714592404616,-0.1513857523805353,-108.8798486719832
0.75,2018-07-18,56.35378706811423,-8.011458229615187,-3.747223613799065,-9.573109477987998,0.25,176.76972493710116,5,0.935332086242225,82.21160674470246,-0.12755394360685246,-49.8627564423042
0.75,2018-07-19,45.1562808075613,-8.79871837029225,-3.979650592332405,-3.9611605744544818,0.25,165.57221867654823,5,0.9640438611655383,48.72824300010362,-0.10637813974607624,-40.07886971659184
0.75,2018-07-20,42.59297718394396,-8.79766532320923,-3.83918593021167,-5.39931364140034,0.25,163.0089150529309,5,0.9665200547914512,42.42290161964543,-0.1407583800200347,-69.89525781956779
