method,n,mean,median,std,var_5pct,var_2_5pct,var_1pct
unhedged,6288,3.9648916883273526,2.0635120666064495,91.85685262675,151.92191302898829,209.97272021065723,250.86976964832365
delta,6288,1.4423656279447712,-2.1518898965362325,35.70412889754752,47.44340616594947,60.4959205845866,65.97717832629735
delta_vega,6288,0.7950077003662331,0.07228451833083227,10.181436753281861,11.783635029170739,15.129585927768744,17.077241280013652
volgan,6288,-0.33245735333484405,-0.2548861654104684,16.592463294377865,27.229716377022143,35.01504461934704,42.97310133546035
