method,n,mean,median,std,var_5pct,var_2_5pct,var_1pct
unhedged,1073,17.650105518578354,21.668037842093327,99.87575904610104,164.11372871155342,220.41630035396818,250.31168274144105
delta,1073,6.222806583492708,1.8449836888603386,42.74676782663145,54.23340195765837,58.65459591559689,74.27102862651404
volgan,1073,2.471282959159782,1.3816845430962985,11.67495737486575,11.976703042320764,16.688507196150727,23.44234585522347
