method,n,mean,median,std,var_5pct,var_2_5pct,var_1pct
unhedged,6918,9.12007001402198,3.3651506374210953,98.59253493926647,147.7120398460371,204.94836162884712,247.19372787966282
delta,6918,1.1961377802219968,-2.6876810879145694,37.30406628987766,50.247886825038904,61.46389902978111,67.40755940279962
delta_vega,6918,1.2927503160941145,0.18130319215060808,11.19900620630861,12.23856001910599,16.957424562906454,19.549014579739687
volgan,6918,0.4166657901363088,-0.29637809306319696,19.317199623594234,27.316666363154265,35.65186570955537,43.58688479882181
