method,n,mean,median,std,var_5pct,var_2_5pct,var_1pct
unhedged,6288,3.9648916883273526,2.0635120666064495,91.85685262675,151.92191302898829,209.97272021065723,250.86976964832365
delta,6288,1.4423656279447712,-2.1518898965362325,35.70412889754752,47.44340616594947,60.4959205845866,65.97717832629735
delta_vega,6288,140782653.5205588,-0.4440069318474116,6693608407.024906,14.812332590753613,21.277320044291628,26.799006037693744
volgan,6288,-0.4294162432830049,-0.27202765905587967,16.499146551330945,27.236137807554254,35.30995198404515,43.48484404182255
