method,n,mean,median,std,var_5pct,var_2_5pct,var_1pct
unhedged,1048,8.30879727654421,14.763931708582135,99.68362657818159,178.24167959391193,238.21617868419295,255.42200642842218
delta,1048,6.910905674244938,1.7665267501517974,42.36058976672827,53.830676022849424,58.00234202752673,74.0552042136003
volgan,1048,2.1622427451297197,1.2732408554474546,7.604543378737066,9.456575193892174,11.026827227553138,16.12978720030324
