method,n,mean,median,std,var_5pct,var_2_5pct,var_1pct
unhedged,1048,4.931112859826778,13.349924408812228,97.85318031738565,183.5536775542591,240.28768785067302,260.934576478449
delta,1048,2.8427054934810054,-1.0320055867094595,36.181067002654004,46.728929692453704,56.739788969285826,65.97717651999808
delta_vega,1048,42762410.74143673,-1.628115518792697,1344546937.2931356,19.00799801539083,24.9521964686495,36.40996785258872
volgan,1048,-4.926540124579232,-4.201069740093317,15.769093487628558,31.555714292414052,35.97368167712006,45.893931410106696
