method,n,mean,median,std,var_5pct,var_2_5pct,var_1pct
unhedged,6918,9.12007001402198,3.3651506374210953,98.59253493926647,147.7120398460371,204.94836162884712,247.19372787966282
delta,6918,1.1961377802219968,-2.6876810879145694,37.30406628987766,50.247886825038904,61.46389902978111,67.40755940279962
delta_vega,6918,127962413.30708218,-0.418592062866594,6381680187.212057,14.910119106932797,21.0985747814359,26.422608002341576
volgan,6918,0.4070438389064843,-0.30819251638169476,19.16737228131177,27.440953007468785,35.05102412345886,43.90957788775317
