method,n,mean,median,std,var_5pct,var_2_5pct,var_1pct
unhedged,1073,13.585577356365281,18.169556354736812,97.87370062342352,170.157956332062,231.1851304045915,258.8981316848274
delta,1073,1.8485485946980373,-1.597947109872166,37.067670937109845,47.585193314175555,60.71258500343273,66.04297626297428
delta_vega,1073,41766474.44215488,-1.7708365740670047,1328806860.4984143,21.002086053931293,24.951677854872298,35.10789804061102
volgan,1073,-4.279166622500084,-4.802358378803035,21.07292837246564,32.972291893927306,35.83599434540597,44.06956512245539
