m0,date,Z_unhedged,Z_delta,Z_delta_vega,Z_diffusion,alpha,V_t,n_instruments,straddle_delta,straddle_vega,hedged_delta,hedged_vega
0.75,2018-07-03,-7.299156264384692,-7.299156264384692,-0.24947877217664427,-7.299156264384692,5.0,113.11678160460224,0,0.5397202795704311,474.87785070774646,0.5397202795704311,474.87785070774646
0.75,2018-07-05,3.8586413790891356,-8.765415960063478,0.8624520466067906,3.8586413790891356,5.0,124.27457924807607,0,0.47265684595741353,499.70081214100725,0.47265684595741353,499.70081214100725
0.75,2018-07-06,16.009117642848935,-7.585305090975396,-0.04006372385845225,14.846381425652567,5.0,136.42505551183586,1,0.5981799883166945,417.8322502900909,0.5446265129953614,389.6561835682344
0.75,2018-07-09,32.058116398163065,-6.101989051172723,-1.662391730061131,24.32671401037669,5.0,152.47405426715,1,0.7222311308694318,325.957079995188,0.45065479503495104,216.38070005912567
0.75,2018-07-10,42.589644097970336,-2.554436386872908,-1.802579847448584,29.555032666710474,5.0,163.00558196695727,2,0.837286030228803,209.13964697935558,0.4087488319852609,54.69356657302603
0.75,2018-07-11,27.59883159291195,-0.9502397727962375,0.9877096627363642,24.5120122637681,5.0,148.01476946189888,2,0.831427878215689,212.0888387847413,0.3394581372904532,40.31838139306086
0.75,2018-07-12,41.90103679298707,-6.826789177015797,-2.2373726876535613,28.48626496830215,5.0,162.316974661974,2,0.7634191783984832,263.4289665091903,0.3364875171578182,88.5265348199888
0.75,2018-07-13,43.899131033953125,-7.134220854812867,-2.664643179326191,29.231123881477515,5.0,164.31506890294006,2,0.9067961944974099,125.9150778025933,0.29746954539830395,-66.4060822495759
0.75,2018-07-16,40.610145496693434,-7.811633351920051,-2.5833410234061205,28.95343491757174,5.0,161.02608336568036,2,0.9246034225045066,103.67918896128322,0.2989312261582838,-79.43860358995386
0.75,2018-07-17,51.60708569022029,-7.096283216643656,-3.8737114833426176,31.562497054236303,5.0,172.02302355920722,2,0.9327638205710029,85.5714592404616,0.3128820824723504,-82.1400334210504
0.75,2018-07-18,56.35378706811423,-8.011458229615187,-4.509306584654837,32.330052283862756,5.0,176.76972493710116,2,0.935332086242225,82.21160674470246,0.21985342110060224,-95.17437250960609
0.75,2018-07-19,45.1562808075613,-8.79871837029225,-3.292350950459536,31.615023826863535,5.0,165.57221867654823,2,0.9640438611655383,48.72824300010362,0.21332240050465134,-111.29086928595433
0.75,2018-07-20,42.59297718394396,-8.79766532320923,-3.935031922109374,30.69540811489898,5.0,163.0089150529309,2,0.9665200547914512,42.42290161964543,0.24537467237588573,-112.82221244559544
0.75,2018-07-23,46.860719772314326,-9.507501017015045,-3.419772640811914,33.57560993750809,5.0,167.27665764130126,2,0.9610435379384622,47.99483627108092,0.26326014297200695,-110.22585945178486
0.75,2018-07-24,60.05925037261255,-9.206174695851075,-3.3741399352604162,36.16434460779732,5.0,180.47518824159948,2,0.9881640453634645,14.097669058739815,0.2274694663375284,-101.7878056108209
0.75,2018-07-25,85.6608270960617,-8.970769016881803,-3.3587978072616522,39.163210655742915,5.0,206.07676496504862,2,0.9964230389252688,4.539064943848636,0.1581454379016507,-79.20103827362794
0.75,2018-07-26,77.02882186150862,-9.00364342550995,-3.4028210965267363,38.164461384745096,5.0,197.44475973049555,2,0.9995963229764286,0.5745298640584269,0.06451983380379722,-33.88629030438886
0.75,2018-07-27,58.41540723484951,-9.004574518348079,-3.299340813618244,37.522570371186475,5.0,178.83134510383644,2,0.9996744396540987,0.4480813061767264,0.09802881334772429,-49.12081482928672
0.75,2018-07-30,42.18421965243394,-9.021042689574216,-3.278893678965261,36.74844363892008,5.0,162.60015752142087,2,0.999281697136455,0.8199596267637219,0.1285169875185429,-52.89156845869495
0.75,2018-07-31,55.87406213242224,-9.011366643384065,-3.2413827763694485,39.25659379871976,5.0,176.29000000140917,2,0.9999820090969143,0.01643499585744248,0.18861137008768536,-42.68354200448441
0.75,2018-08-01,52.944062131055944,-9.011419358096646,-3.240320425202299,39.20928042680964,5.0,173.36000000004287,2,0.9999999996896876,2.902638105618615e-07,0.04936583500060665,-9.332313691778443
0.75,2018-08-02,12.050959073089075,12.050959073089075,-0.7732697916919449,12.050959073089075,5.0,248.7583429818865,0,0.9385158728433559,110.55704696984918,0.9385158728433559,110.55704696984918
0.75,2018-08-03,24.39224008102869,12.069526670594996,-0.9044456622170856,24.39224008102869,5.0,261.0996239898261,0,0.9677528094658795,62.59834535525901,0.9677528094658795,62.59834535525901
0.75,2018-08-06,33.9863395256161,11.937710380050135,-1.0649180587957972,33.9863395256161,5.0,270.6937234344135,0,0.9832146786208743,33.9775611713426,0.9832146786208743,33.9775611713426
0.75,2018-08-07,41.87486124603751,11.911353937573722,-1.131039533071771,41.87486124603751,5.0,278.58224515483494,0,0.9923904393804792,15.853495373240147,0.9923904393804792,15.853495373240147
0.75,2018-08-08,41.068859507785334,11.849645028856969,-1.1686272090498164,41.09395912061419,5.0,277.77624341658276,1,0.9961363536441754,8.477785657859005,0.9886483043069928,2.231381032415568
0.75,2018-08-09,36.994828391014295,11.879695689099947,-1.1258428233788322,37.049399185330174,5.0,273.7022122998117,1,0.9975357778790762,5.545019419641829,0.9903492191424823,-0.4571638270333649
0.75,2018-08-10,17.81550247803665,12.950346067067443,-0.20417946023795253,17.959542740916874,5.0,254.52288638683407,1,0.9963055977806985,7.8095343543585365,0.9898054945460272,2.2234309364989775
0.75,2018-08-13,9.605316634837124,16.048228758679272,2.4840410854477,9.770081415928928,5.0,246.31270054363455,1,0.9726172687956693,46.793655413560614,0.9686637808026031,42.73996028763983
