m0,date,Z_unhedged,Z_delta,Z_delta_vega,Z_diffusion,alpha,V_t,n_instruments,straddle_delta,straddle_vega,hedged_delta,hedged_vega
0.75,2018-07-03,-7.299156264384692,-0.01832969297947784,-0.24947877217664427,-1.3684574502449323,0.25,113.11678160460224,3,0.5397202795704311,474.87785070774646,0.10537061773150336,156.99344207635806
0.75,2018-07-05,3.8586413790891356,0.08402432355035216,0.8624520466067906,1.940313747046389,0.25,124.27457924807607,3,0.47265684595741353,499.70081214100725,0.11072220649771192,112.11798140175324
0.75,2018-07-06,16.009117642848935,-1.6492569415203775,-0.04006372385845225,3.7641002015082563,0.25,136.42505551183586,3,0.5981799883166945,417.8322502900909,0.0659203743375788,50.908228295994604
0.75,2018-07-09,32.058116398163065,-3.186586222876713,-1.662391730061131,3.628156656934607,0.25,152.47405426715,3,0.7222311308694318,325.957079995188,0.013310715493533798,-12.246267765783955
0.75,2018-07-10,42.589644097970336,-0.751614435381839,-1.802579847448584,5.933854101792463,0.25,163.00558196695727,3,0.837286030228803,209.13964697935558,-0.022290433959808786,-74.65805197109034
0.75,2018-07-11,27.59883159291195,0.7364736057946288,0.9877096627363642,7.508186919592674,0.25,148.01476946189888,3,0.831427878215689,212.0888387847413,-0.0873456126582397,-48.0179543860865
0.75,2018-07-12,41.90103679298707,-3.4895046538615304,-2.2373726876535613,2.349988183931629,0.25,162.316974661974,3,0.7634191783984832,263.4289665091903,-0.05026831301634793,-16.95806470143225
0.75,2018-07-13,43.899131033953125,-4.229934920277884,-2.664643179326191,2.5007253034343364,0.25,164.31506890294006,4,0.9067961944974099,125.9150778025933,-0.05250185031120691,-100.31116816072974
0.75,2018-07-16,40.610145496693434,-4.8560626007241865,-2.5833410234061205,3.3016612784498136,0.25,161.02608336568036,4,0.9246034225045066,103.67918896128322,-0.060129925860496036,-103.02550376414803
0.75,2018-07-17,51.60708569022029,-4.231456091947507,-3.8737114833426176,3.4040704542989033,0.25,172.02302355920722,4,0.9327638205710029,85.5714592404616,-0.04312020963227825,-104.62822873520493
0.75,2018-07-18,56.35378706811423,-5.162220477543656,-4.509306584654837,2.0921881744551456,0.25,176.76972493710116,4,0.935332086242225,82.21160674470246,-0.09026350939212424,-61.630437389586746
0.75,2018-07-19,45.1562808075613,-5.629918563324395,-3.292350950459536,3.176565228933555,0.25,165.57221867654823,4,0.9640438611655383,48.72824300010362,-0.08460617543312055,-67.84073897666994
0.75,2018-07-20,42.59297718394396,-5.622278841196248,-3.935031922109374,3.711703997116956,0.25,163.0089150529309,4,0.9665200547914512,42.42290161964543,-0.05231591791826862,-91.36501136923205
0.75,2018-07-23,46.860719772314326,-6.303910473208987,-3.419772640811914,3.9889123142393714,0.25,167.27665764130126,4,0.9610435379384622,47.99483627108092,-0.06218016183736885,-82.96329923944438
0.75,2018-07-24,60.05925037261255,-6.366541361688576,-3.3741399352604162,2.3591624727806106,0.25,180.47518824159948,4,0.9881640453634645,14.097669058739815,-0.07031867542598802,-85.99603139263577
0.75,2018-07-25,85.6608270960617,-6.34314404745075,-3.3587978072616522,0.3914232519655627,0.25,206.07676496504862,4,0.9964230389252688,4.539064943848636,-0.06396200235663918,-47.86848332661446
0.75,2018-07-26,77.02882186150862,-6.348633014717166,-3.4028210965267363,0.2825202240841236,0.25,197.44475973049555,4,0.9995963229764286,0.5745298640584269,-0.029231869803518995,5.6737872863547665
0.75,2018-07-27,58.41540723484951,-6.348109575016849,-3.299340813618244,1.9901653394632035,0.25,178.83134510383644,4,0.9996744396540987,0.4480813061767264,-0.019642434919415863,-11.858564776236312
